,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,lastPrice,52weekHigh,52weekLow,tradedVolume,image
22,MSFT231215C00270000,1702674000,call,270,101.6,103.65,103.3,19,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
23,MSFT231215C00275000,1702674000,call,275,96.6,98.65,95.74,117,12,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
24,MSFT231215C00280000,1702674000,call,280,90.9,93.7,91.47,65,10,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
25,MSFT231215C00285000,1702674000,call,285,86.25,88.7,86.5,16,3,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
26,MSFT231215C00290000,1702674000,call,290,81.8,83.8,81.93,355,1,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
27,MSFT231215C00295000,1702674000,call,295,76.1,78.75,76.49,32,4,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
28,MSFT231215C00300000,1702674000,call,300,71.2,73.8,73.17,87,2,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
29,MSFT231215C00305000,1702674000,call,305,66.05,68.8,64.1,23,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
30,MSFT231215C00310000,1702674000,call,310,62,63.9,63.8,32,3,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
31,MSFT231215C00315000,1702674000,call,315,56.1,58.85,57.4,3075,1010,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
32,MSFT231215C00320000,1702674000,call,320,52.4,53.85,52.24,204,12,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
33,MSFT231215C00325000,1702674000,call,325,46.35,48.9,47.8,168,23,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
34,MSFT231215C00330000,1702674000,call,330,41.2,43.95,42.47,6389,17,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
35,MSFT231215C00335000,1702674000,call,335,36.8,39.1,38.04,12155,73,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
36,MSFT231215C00337500,1702674000,call,337.5,33.9,36.65,31.7,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
37,MSFT231215C00340000,1702674000,call,340,31.6,34.2,32.53,6353,68,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
38,MSFT231215C00342500,1702674000,call,342.5,29.6,31.75,27.15,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
39,MSFT231215C00345000,1702674000,call,345,26.3,29.3,28.42,6631,279,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
40,MSFT231215C00347500,1702674000,call,347.5,24.35,26.85,24.57,12,4,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
41,MSFT231215C00350000,1702674000,call,350,23,23.85,23.75,15688,231,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
42,MSFT231215C00352500,1702674000,call,352.5,20.55,22.5,16.1,0,3,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
43,MSFT231215C00355000,1702674000,call,355,17.05,20.05,18.09,6947,137,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
44,MSFT231215C00357500,1702674000,call,357.5,16.5,18.15,16.45,101,16,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
45,MSFT231215C00360000,1702674000,call,360,14.25,14.7,14.32,9673,342,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
46,MSFT231215C00362500,1702674000,call,362.5,11.9,13.8,12.27,585,62,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
47,MSFT231215C00365000,1702674000,call,365,10.3,10.65,10.5,18243,5484,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
48,MSFT231215C00367500,1702674000,call,367.5,8.7,8.85,8.75,1101,1131,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
49,MSFT231215C00370000,1702674000,call,370,7.05,7.25,7.15,13896,8502,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
50,MSFT231215C00372500,1702674000,call,372.5,5.65,5.75,5.7,3810,4595,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
51,MSFT231215C00375000,1702674000,call,375,4.4,4.5,4.45,10618,7522,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
52,MSFT231215C00377500,1702674000,call,377.5,3.4,3.5,3.4,1418,3390,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
53,MSFT231215C00380000,1702674000,call,380,2.59,2.63,2.58,21343,10460,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
54,MSFT231215C00382500,1702674000,call,382.5,1.94,1.99,1.94,2030,2206,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
55,MSFT231215C00385000,1702674000,call,385,1.43,1.48,1.45,13001,2406,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
56,MSFT231215C00387500,1702674000,call,387.5,1.05,1.1,1.07,2919,1236,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
57,MSFT231215C00390000,1702674000,call,390,0.77,0.8,0.76,8458,3257,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
58,MSFT231215C00392500,1702674000,call,392.5,0.57,0.61,0.55,1214,122,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
59,MSFT231215C00395000,1702674000,call,395,0.42,0.45,0.45,20222,747,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
60,MSFT231215C00397500,1702674000,call,397.5,0.24,0.44,0.31,100,188,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
61,MSFT231215C00400000,1702674000,call,400,0.24,0.27,0.25,8507,2660,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
62,MSFT231215C00405000,1702674000,call,405,0.15,0.17,0.15,3321,101,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
63,MSFT231215C00410000,1702674000,call,410,0.09,0.11,0.1,5571,132,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
64,MSFT231215C00415000,1702674000,call,415,0.06,0.16,0.06,4680,17,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
65,MSFT231215C00420000,1702674000,call,420,0.02,0.1,0.04,1702,79,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
66,MSFT231215C00425000,1702674000,call,425,0.03,0.04,0.04,1836,11,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
67,MSFT231215C00430000,1702674000,call,430,0.02,0.03,0.02,787,31,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
68,MSFT231215C00435000,1702674000,call,435,0,0.02,0.02,11,2,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
69,MSFT231215C00440000,1702674000,call,440,0,0.11,0.01,4571,4,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
70,MSFT231215C00445000,1702674000,call,445,0,0.11,0.02,32,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
